sample,country,period,term,coefficient,ci95_low,ci95_high,simultaneous_low,simultaneous_high,n,groups
all_candidates,BR,test,intercept,-0.024890668075188804,-0.04669073825503519,0.20126182983741386,-0.047822552093253715,0.2823890483466748,91,11
all_candidates,BR,test,H1_mean_shift,0.02467913779522135,-0.3088327972315425,0.09430267978640156,-0.43087233542068976,0.11507692840232553,91,11
all_candidates,BR,test,H2_season_shift,0.8917762802157219,-0.41738284669583714,1.2453871059000987,-0.708868108600992,1.3193678253588723,91,11
all_candidates,US,test,intercept,0.011605491804166675,-0.025966380654558655,0.15916086093209883,-0.034515844521785445,0.18024783613561687,197,22
all_candidates,US,test,H1_mean_shift,-0.046850770760488804,-0.3792737706850752,0.11949442015112352,-0.45223625292602215,0.15544703306668337,197,22
all_candidates,US,test,H2_season_shift,0.7020656512403808,0.0806425948069546,1.0067054162372604,0.04115158041851573,1.0282122656387258,197,22
all_candidates,US,train,intercept,0.02088178475579492,0.002810296398862579,0.09489969326993415,0.0018641423956277897,0.10998857935102226,147,16
all_candidates,US,train,H1_mean_shift,0.11699328527248425,-0.14832953843504623,0.1287035922465748,-0.16389554864814523,0.13116675157292207,147,16
all_candidates,US,train,H2_season_shift,0.11691850129806686,-0.34937725282136434,0.26417089948873373,-0.4678612570374505,0.34476444611786433,147,16
exclude_screen_flags,BR,test,intercept,-0.024890668075188804,-0.04669073825503519,0.20126182983741386,-0.047822552093253715,0.2823890483466748,91,11
exclude_screen_flags,BR,test,H1_mean_shift,0.02467913779522135,-0.3088327972315425,0.09430267978640156,-0.43087233542068976,0.11507692840232553,91,11
exclude_screen_flags,BR,test,H2_season_shift,0.8917762802157219,-0.41738284669583714,1.2453871059000987,-0.708868108600992,1.3193678253588723,91,11
exclude_screen_flags,US,test,intercept,-0.018381339577802094,-0.043535346572779396,0.045662151842029666,-0.04547753947254333,0.04891843898243196,193,21
exclude_screen_flags,US,test,H1_mean_shift,0.04247710347298824,-0.07221245753324552,0.05534343322668737,-0.08656822968209917,0.057337371171742535,193,21
exclude_screen_flags,US,test,H2_season_shift,0.7209584990868798,0.16146653693465057,0.9911365118210581,0.128657087329484,1.0116687740778767,193,21
exclude_screen_flags,US,train,intercept,0.020710266747129114,0.002810296398862579,0.09493261749377026,0.0018641423956277897,0.10998857935102226,146,16
exclude_screen_flags,US,train,H1_mean_shift,0.11746436832898706,-0.1445451274284207,0.12910472252797103,-0.16389554864814523,0.1315762487951411,146,16
exclude_screen_flags,US,train,H2_season_shift,0.11472176371230752,-0.3821401932173217,0.25704465598311016,-0.4742295395513046,0.34010774036092983,146,16
