DAM_ID,STORAGE,STORAGE_START,STORAGE_END,DATA_SOURCE,INFLOW,INFLOW_START,INFLOW_END,DATA_SOURCE.1,OUTFLOW,OUTFLOW_START,OUTFLOW_END,DATA_SOURCE.2,ELEVATION,ELEVATION_START,ELEVATION_END,DATA_SOURCE.3,EVAPORATION,EVAPORATION_START,EVAPORATION_END,DATA_SOURCE.4
41,1,10/1/70,8/31/20,SCL,1,10/1/70,8/31/20,SCL,1,1/1/90,8/31/20,SCL,1,10/1/70,8/31/20,SCL,0,NA,NA,NA
42,1,10/1/70,8/31/20,SCL,1,10/1/70,8/31/20,SCL,1,1/1/90,8/31/20,SCL,1,10/1/70,8/31/20,SCL,0,NA,NA,NA
54,1,10/1/15,12/31/20,BOR_PN,0,NA,NA,NA,1,1/1/80,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
55,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
56,1,1/1/90,12/31/20,ACE_SEA,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_12105900,1,1/1/90,12/31/20,ACE_SEA,0,NA,NA,NA
57,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
59,1,10/1/04,12/31/20,usgs_12101000,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
60,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
63,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,1,1/1/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
72,1,10/1/76,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
78,1,12/29/75,12/31/20,BOR_PN,1,5/7/01,12/31/20,BOR_PN,1,5/7/01,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
80,1,12/15/70,12/31/20,ACE_POR,0,NA,NA,NA,1,12/15/70,12/31/20,usgs_14159500,1,12/15/70,12/31/20,ACE_POR,0,NA,NA,NA
83,1,12/15/70,5/26/20,ACE_POR,0,NA,NA,ACE_POR,0,NA,NA,NA,1,12/15/70,5/26/20,ACE_POR,0,NA,NA,NA
85,1,12/15/70,12/31/20,ACE_POR,0,NA,NA,NA,1,8/1/73,12/31/20,usgs_14187200,1,12/15/70,12/31/20,ACE_POR,0,NA,NA,NA
87,1,1/31/65,12/31/20,BOR_PN,0,NA,NA,NA,1,1/1/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
88,1,11/1/74,12/31/20,ACE_POR,0,NA,NA,NA,1,11/1/74,12/31/20,usgs_14162200,1,11/1/74,12/31/20,ACE_POR,0,NA,NA,NA
89,1,1/1/71,12/31/20,ACE_POR,0,NA,NA,NA,1,1/1/71,12/31/20,usgs_14159500,1,1/1/71,12/31/20,ACE_POR,0,NA,NA,NA
90,1,1/1/75,12/31/20,ACE_POR,0,NA,NA,NA,1,1/1/75,12/31/20,usgs_14169000,1,1/1/75,12/31/20,ACE_POR,0,NA,NA,NA
91,1,10/1/73,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
92,1,1/1/82,12/31/20,ACE_POR,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_14151000,1,1/1/82,12/31/20,ACE_POR,0,NA,NA,NA
93,1,1/1/61,12/31/20,ACE_POR,0,NA,NA,NA,1,1/1/61,12/31/20,usgs_14150000,1,1/1/61,12/31/20,ACE_POR,0,NA,NA,NA
94,1,1/1/71,5/26/20,ACE_POR,0,NA,NA,ACE_POR,0,NA,NA,NA,1,1/1/71,5/26/20,ACE_POR,0,NA,NA,NA
97,1,11/1/74,12/31/20,ACE_POR,0,NA,NA,NA,1,11/1/74,12/31/20,usgs_14155500,1,11/1/74,12/31/20,ACE_POR,0,NA,NA,NA
98,1,1/31/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
99,1,11/1/74,12/31/20,ACE_POR,0,NA,NA,NA,1,11/1/74,12/31/20,usgs_14153500,1,11/1/74,12/31/20,ACE_POR,0,NA,NA,NA
100,1,1/1/63,12/31/20,ACE_POR,0,NA,NA,NA,1,1/1/63,12/31/20,usgs_14145500,1,1/1/63,12/31/20,ACE_POR,0,NA,NA,NA
101,1,1/31/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
102,1,1/31/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
107,1,2/28/77,12/31/20,ACE_POR,0,NA,NA,NA,1,2/28/77,12/31/20,usgs_14337600,1,2/28/77,12/31/20,ACE_POR,0,NA,NA,NA
108,1,10/31/65,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
111,1,5/6/66,12/31/20,BOR_PN,1,11/4/00,12/31/20,BOR_PN,1,4/3/06,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
113,1,4/29/66,12/31/20,BOR_PN,1,4/27/01,12/31/20,BOR_PN,1,4/16/01,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
114,1,4/5/66,12/31/20,BOR_PN,1,2/17/89,12/31/20,BOR_PN,1,10/5/88,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
116,1,1/1/90,12/31/20,ACE_POR,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_14362000,1,1/1/90,12/31/20,ACE_POR,0,NA,NA,NA
119,1,8/31/96,7/9/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
124,1,1/13/20,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
126,1,12/31/19,6/30/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,1,12/31/19,6/30/20,CDEC,0,NA,NA,NA
131,1,1/1/65,12/31/20,CDEC,1,1/1/65,12/31/20,CDEC,1,1/1/65,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA
132,1,1/1/85,12/31/20,CDEC,1,1/1/45,12/31/20,BOR,1,1/5/87,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA
133,1,5/3/63,12/31/20,BOR,1,4/1/64,12/31/20,BOR,1,1/1/90,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA
135,1,1/2/85,7/15/03,CDEC,1,1/3/94,7/15/03,CDEC,1,10/4/93,7/15/03,CDEC,0,NA,NA,NA,0,NA,NA,NA
136,1,2/1/01,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
137,1,1/1/85,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
138,1,1/1/85,12/31/20,CDEC,1,1/3/94,12/31/20,CDEC,1,10/4/93,12/31/20,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
139,1,4/21/85,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
140,1,4/21/85,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
