ID,name,status,timezone,inflow_n_common,inflow_max_abs_error,inflow_different_values,inflow_mask_disagreements,outflow_n_common,outflow_max_abs_error,outflow_different_values,outflow_mask_disagreements,exact_flow_replay,upstream_negative_inflow_days,upstream_missing_inflow_days,linear_fill_days,long_gap_partial_fill_days,gradient_removed_days
1001,El Dorado Lake,processed,America/Chicago,13062.0,5.684341886080802e-14,0.0,0.0,13058.0,1.4210854715202004e-14,0.0,0.0,True,0.0,1565.0,15.0,14.0,0.0
1003,Toronto Lake,processed,America/Chicago,13065.0,2.2737367544323206e-13,0.0,0.0,13058.0,5.684341886080802e-14,0.0,0.0,True,0.0,1556.0,10.0,7.0,0.0
1006,Stockton Lake,processed,America/Chicago,12793.0,2.2737367544323206e-13,0.0,0.0,12754.0,2.842170943040401e-14,0.0,0.0,True,0.0,1825.0,7.0,7.0,0.0
1007,Fall River Lake,processed,America/Chicago,13065.0,2.2737367544323206e-13,0.0,0.0,13058.0,2.842170943040401e-14,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1017,Clearwater Lake,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1020,Copan Lake,processed,America/Chicago,12852.0,2.2737367544323206e-13,0.0,0.0,12846.0,2.2737367544323206e-13,0.0,0.0,True,0.0,1602.0,23.0,21.0,0.0
1021,Great Salt Plains Lake,processed,America/Chicago,13065.0,1.1368683772161603e-13,0.0,0.0,13058.0,5.684341886080802e-14,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1023,Kaw Lake,processed,America/Chicago,13065.0,4.547473508864641e-13,0.0,0.0,13058.0,2.2737367544323206e-13,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1026,Table Rock Lake,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14610.0,2.2737367544323206e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1027,Fort Supply Lake,processed,America/Chicago,13065.0,7.105427357601002e-15,0.0,0.0,13058.0,3.552713678800501e-15,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1028,Birch Lake,processed,America/Chicago,13065.0,2.842170943040401e-14,0.0,0.0,13058.0,7.105427357601002e-15,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1032,Oologah Lake,processed,America/Chicago,13065.0,4.547473508864641e-13,0.0,0.0,13058.0,2.2737367544323206e-13,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1033,Beaver Lake,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14610.0,2.2737367544323206e-13,0.0,0.0,True,1.0,0.0,1.0,0.0,0.0
1036,Bull Shoals Lake,processed,America/Chicago,14610.0,9.094947017729282e-13,0.0,0.0,14610.0,2.2737367544323206e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1042,Norfork Lake,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14610.0,1.1368683772161603e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1048,Keystone Lake,processed,America/Chicago,13065.0,9.094947017729282e-13,0.0,0.0,13058.0,9.094947017729282e-13,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1051,,processed,America/Chicago,5418.0,2.2737367544323206e-13,0.0,0.0,5418.0,2.2737367544323206e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1053,Fort Gibson Lake,processed,America/Chicago,13057.0,9.094947017729282e-13,0.0,0.0,13057.0,4.547473508864641e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1067,Greers Ferry Lake,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,1.0,0.0,1.0,0.0,0.0
1070,Conchas Lake,processed,America/Denver,9039.0,2.842170943040401e-14,0.0,0.0,9038.0,2.842170943040401e-14,0.0,0.0,True,0.0,2.0,2.0,0.0,0.0
1075,Robert S. Kerr Reservoir,processed,America/Chicago,5395.0,1.8189894035458565e-12,0.0,0.0,5388.0,1.8189894035458565e-12,0.0,0.0,True,0.0,38.0,14.0,7.0,0.0
1078,Dardanelle Lake,processed,America/Chicago,9869.0,1.8189894035458565e-12,0.0,0.0,9862.0,1.8189894035458565e-12,0.0,0.0,True,247.0,1461.0,254.0,7.0,0.0
1084,Blue Mountain Lake,processed,America/Chicago,14610.0,1.1368683772161603e-13,0.0,0.0,13387.0,5.684341886080802e-14,0.0,0.0,True,7.0,0.0,7.0,0.0,0.0
1086,Santa Rosa Lake,processed,America/Denver,14253.0,1.4210854715202004e-14,0.0,0.0,14594.0,7.105427357601002e-15,0.0,0.0,True,0.0,368.0,10.0,7.0,0.0
1092,Nimrod Lake,processed,America/Chicago,14610.0,2.2737367544323206e-13,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,1.0,1.0,2.0,0.0,0.0
1093,Wister Lake,processed,America/Chicago,13065.0,2.2737367544323206e-13,0.0,0.0,13058.0,5.684341886080802e-14,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1095,Lake Altus,processed,America/Chicago,6406.0,5.684341886080802e-14,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,2003.0,8107.0,1849.0,399.0,0.0
1101,Arkabutla Lake,processed,America/Chicago,14605.0,2.2737367544323206e-13,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,0.0,15.0,9.0,7.0,0.0
1109,Lake Sumner,processed,America/Denver,6540.0,2.2737367544323206e-13,0.0,0.0,9267.0,7.105427357601002e-15,0.0,0.0,True,166.0,8371.0,446.0,147.0,0.0
1112,Lake Ouachita,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14609.0,5.684341886080802e-14,0.0,0.0,True,0.0,10.0,10.0,0.0,0.0
1120,Waurika Lake,processed,America/Chicago,13065.0,1.1368683772161603e-13,0.0,0.0,13058.0,2.842170943040401e-14,0.0,0.0,True,0.0,1553.0,7.0,7.0,0.0
1121,Degray Lake,processed,America/Chicago,14610.0,2.2737367544323206e-13,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1122,Gillham Lake,processed,America/Chicago,14610.0,1.1368683772161603e-13,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
1124,Dierks Lake,processed,America/Chicago,9869.0,2.842170943040401e-14,0.0,0.0,9862.0,7.105427357601002e-15,0.0,0.0,True,0.0,4749.0,7.0,7.0,0.0
1125,Lake Greeson,processed,America/Chicago,14610.0,2.2737367544323206e-13,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
