ID,source,start,window,n_days,top10_inflow_share
1001,cars,1980,early,3650,0.12448628669532685
1001,cars,1980,late,3652,0.1391894720734738
1001,upstream,1980,early,3640,0.1444109697319973
1001,upstream,1980,late,3652,0.15103643799125138
1003,cars,1980,early,3653,0.11146030500819046
1003,cars,1980,late,3652,0.13208589647839103
1003,upstream,1980,early,3650,0.12267824430694757
1003,upstream,1980,late,3652,0.14141361328352067
1006,cars,1980,early,3653,0.074679053344836
1006,cars,1980,late,3652,0.07763253417964379
1006,upstream,1980,early,3653,0.08431621643822423
1006,upstream,1980,late,3652,0.08474152893304741
1007,cars,1980,early,3653,0.12177284164526084
1007,cars,1980,late,3652,0.12685318945823965
1007,upstream,1980,early,3653,0.1411966173977757
1007,upstream,1980,late,3652,0.14027748095744244
1017,cars,1980,early,3653,0.08273455817229719
1017,cars,1980,late,3652,0.061713865836027997
1017,cars,2000,early,3653,0.0907152447828754
1017,cars,2000,late,3652,0.09926271001757622
1017,upstream,1980,early,3653,0.09262728527763828
1017,upstream,1980,late,3652,0.06950802871629974
1017,upstream,2000,early,3653,0.09847649166048249
1017,upstream,2000,late,3652,0.10442651415921497
1020,cars,1980,early,3257,0.1385350074794971
1020,cars,1980,late,3652,0.07164236167788682
1020,upstream,1980,early,3254,0.14388077102172123
1020,upstream,1980,late,3652,0.07691694866096209
1021,cars,1980,early,3653,0.052735540210043494
1021,cars,1980,late,3652,0.06194838067096127
1021,upstream,1980,early,3653,0.05451606213795636
1021,upstream,1980,late,3652,0.06627163577623155
1023,cars,1980,early,3653,0.057344528768604436
1023,cars,1980,late,3652,0.07289623384529938
1023,upstream,1980,early,3653,0.05997402322813814
1023,upstream,1980,late,3652,0.07471481927800555
1026,cars,1980,early,3653,0.05404260650402639
1026,cars,1980,late,3652,0.037912572685648946
1026,cars,2000,early,3653,0.069757637260683
1026,cars,2000,late,3652,0.0974448710621408
1026,upstream,1980,early,3653,0.05917918783180997
1026,upstream,1980,late,3652,0.04048857244608366
1026,upstream,2000,early,3653,0.07520508024379577
1026,upstream,2000,late,3652,0.10092287265108515
1027,cars,1980,early,3653,0.05641105635700895
1027,cars,1980,late,3652,0.046797589355158375
1027,upstream,1980,early,3653,0.06050063550560976
1027,upstream,1980,late,3652,0.049234668349371395
1028,cars,1980,early,3653,0.17568895448470417
1028,cars,1980,late,3652,0.15510111668391585
1028,upstream,1980,early,3653,0.2120342765337213
1028,upstream,1980,late,3652,0.18970487500038516
1032,cars,1980,early,3653,0.05387782941993881
1032,cars,1980,late,3652,0.04489479263361781
1032,upstream,1980,early,3653,0.05445195270961293
1032,upstream,1980,late,3652,0.0471417065509983
1033,cars,1980,early,3653,0.08213870629275684
1033,cars,1980,late,3652,0.06403032286677418
1033,cars,2000,early,3653,0.10612714024263332
1033,cars,2000,late,3652,0.11820112655035331
1033,upstream,1980,early,3653,0.09799581786316154
1033,upstream,1980,late,3652,0.07201782123679441
1033,upstream,2000,early,3653,0.11959101573106728
1033,upstream,2000,late,3651,0.12916820633613604
1036,cars,1980,early,3653,0.0365795220378383
1036,cars,1980,late,3652,0.0223317525143725
1036,cars,2000,early,3653,0.0426108049868519
1036,cars,2000,late,3652,0.05363584887346251
1036,upstream,1980,early,3653,0.042136107786185796
1036,upstream,1980,late,3652,0.02639906069748539
1036,upstream,2000,early,3653,0.0470737245006966
1036,upstream,2000,late,3652,0.05640974593362905
1042,cars,1980,early,3653,0.07520296970588142
1042,cars,1980,late,3652,0.047533571509133635
1042,cars,2000,early,3653,0.08256492152305457
1042,cars,2000,late,3652,0.09583181553847601
1042,upstream,1980,early,3653,0.08118257405151028
1042,upstream,1980,late,3652,0.05209646783362392
1042,upstream,2000,early,3653,0.0880343645047503
1042,upstream,2000,late,3652,0.10065189814390334
1048,cars,1980,early,3653,0.06056360706671972
1048,cars,1980,late,3652,0.04605451274401674
1048,upstream,1980,early,3653,0.0636090421174244
1048,upstream,1980,late,3652,0.046697998047630744
1053,cars,1980,early,3653,0.037363947477308916
1053,cars,1980,late,3652,0.029716821180520443
1053,upstream,1980,early,3653,0.03830219674838102
1053,upstream,1980,late,3652,0.030200134685165095
1067,cars,1980,early,3653,0.10589365669993969
1067,cars,1980,late,3652,0.06627638198912258
1067,cars,2000,early,3653,0.09388925240356676
1067,cars,2000,late,3652,0.08237201687972912
1067,upstream,1980,early,3653,0.11581132639929452
1067,upstream,1980,late,3652,0.08063690712405508
1067,upstream,2000,early,3653,0.10614348465255405
1067,upstream,2000,late,3651,0.09705323261404654
1084,cars,1980,early,3653,0.09866611396871512
1084,cars,1980,late,3652,0.09439205415725228
1084,upstream,1980,early,3653,0.10662408845267193
1084,upstream,1980,late,3650,0.10330500642660408
1086,cars,1980,early,3287,0.046337343619092294
1086,cars,1980,late,3652,0.04420676974123101
1086,cars,2000,early,3653,0.05899663522841431
1086,cars,2000,late,3287,0.21170558157520344
1086,upstream,1980,early,3287,0.05281348866431449
1086,upstream,1980,late,3652,0.05052047117580315
1086,upstream,2000,early,3653,0.0616445652497142
1086,upstream,2000,late,3286,0.23050048549152335
1092,cars,1980,early,3653,0.09925009182487791
1092,cars,1980,late,3652,0.07953694190645304
1092,cars,2000,early,3653,0.09873807343665436
1092,cars,2000,late,3652,0.09476295764157332
1092,upstream,1980,early,3652,0.10890517024433702
1092,upstream,1980,late,3652,0.08581220336261701
1092,upstream,2000,early,3653,0.10646338550768879
1092,upstream,2000,late,3651,0.10028199033784621
1093,cars,1980,early,3653,0.07321016611439202
1093,cars,1980,late,3652,0.07995733079584244
1093,upstream,1980,early,3653,0.08299229062721825
1093,upstream,1980,late,3652,0.08839234983874249
1101,cars,1980,early,3653,0.06156273214125208
1101,cars,1980,late,3652,0.06630648718705141
1101,cars,2000,early,3653,0.0706635710209528
1101,cars,2000,late,3647,0.08920521307096115
1101,upstream,1980,early,3653,0.0691333853792025
1101,upstream,1980,late,3652,0.07195439198507225
1101,upstream,2000,early,3653,0.07695345938387717
1101,upstream,2000,late,3637,0.09587196710157722
1112,cars,1980,early,3653,0.08011468091582598
1112,cars,1980,late,3651,0.05981901485417727
1112,cars,2000,early,3653,0.07346112772399345
1112,cars,2000,late,3652,0.09701460890649827
1112,upstream,1980,early,3653,0.08919682607087219
1112,upstream,1980,late,3650,0.07156391639301966
1112,upstream,2000,early,3653,0.0816573020866487
1112,upstream,2000,late,3642,0.11174174792041737
1120,cars,1980,early,3653,0.20261119395546404
1120,cars,1980,late,3652,0.10816740976913058
1120,upstream,1980,early,3653,0.21681540324911874
1120,upstream,1980,late,3652,0.11698894586909242
1121,cars,1980,early,3653,0.0734637495887757
1121,cars,1980,late,3652,0.06086049827215985
1121,cars,2000,early,3653,0.07277929250669482
1121,cars,2000,late,3652,0.07298753808343889
1121,upstream,1980,early,3652,0.08352959595289106
1121,upstream,1980,late,3652,0.06989849792269684
1121,upstream,2000,early,3653,0.08276544962945667
1121,upstream,2000,late,3652,0.08429668420742113
1122,cars,1980,early,3653,0.08211743437750095
1122,cars,1980,late,3652,0.0681048995989635
1122,cars,2000,early,3653,0.08058901439867641
1122,cars,2000,late,3652,0.08383908366067812
1122,upstream,1980,early,3653,0.0966730864844165
1122,upstream,1980,late,3652,0.08312846152455083
1122,upstream,2000,early,3653,0.09522342211650385
1122,upstream,2000,late,3652,0.09844517201573828
1125,cars,1980,early,3653,0.0734637495887757
1125,cars,1980,late,3652,0.06086049827215985
1125,cars,2000,early,3653,0.07277929250669482
1125,cars,2000,late,3652,0.07298753808343889
1125,upstream,1980,early,3652,0.08352959595289106
1125,upstream,1980,late,3652,0.06989849792269684
1125,upstream,2000,early,3653,0.08276544962945667
1125,upstream,2000,late,3652,0.08429668420742113
1127,cars,1980,early,3652,0.07954874853617643
1127,cars,1980,late,3652,0.0632573574491729
1127,cars,2000,early,3653,0.09285217044744008
1127,cars,2000,late,3652,0.0848064716325583
1127,upstream,1980,early,3652,0.09484831159160202
1127,upstream,1980,late,3652,0.06876311751292995
1127,upstream,2000,early,3653,0.10031326214663679
1127,upstream,2000,late,3651,0.09287832506278092
1134,cars,1980,early,3653,0.1209935755105892
1134,cars,1980,late,3652,0.09122921877363879
1134,upstream,1980,early,3653,0.1340864571581566
1134,upstream,1980,late,3652,0.10312145645945722
114,cars,2000,early,3638,0.034657742460789266
114,cars,2000,late,3651,0.031546081557388764
114,upstream,2000,early,3577,0.037894849169345365
114,upstream,2000,late,3548,0.036219896847570564
1151,cars,2000,early,3653,0.15789430414984154
1151,cars,2000,late,3652,0.12646106885287442
1151,upstream,2000,early,3653,0.18173702036026176
1151,upstream,2000,late,3652,0.1430597230693471
1192,cars,1980,early,3283,0.041181375664407105
1192,cars,1980,late,3652,0.021481420799539068
1192,cars,2000,early,3653,0.025691767020240727
1192,cars,2000,late,3287,0.04748074369237683
1192,upstream,1980,early,3279,0.04184819776598671
1192,upstream,1980,late,3652,0.02265196446177004
