source,fold,model,feature,standardized_coefficient
cars,0,hydrology,early_shape,-0.3642674190294306
cars,0,hydrology,annual_shape_sd,0.33663254267562576
cars,0,hydrology,annual_shape_trend_abs,-0.14329394384378175
cars,0,hydrology,early_cv,-0.2388937320782256
cars,0,hydrology,early_concentration,0.17319648828708095
cars,0,quality,paired_invalid_fraction,-0.052737609535983804
cars,0,quality,negative_inflow_fraction,-0.2042871309682011
cars,0,quality,missing_inflow_fraction,0.4444272951834481
cars,0,combined,early_shape,-0.26828413331433487
cars,0,combined,annual_shape_sd,0.23973856707639968
cars,0,combined,annual_shape_trend_abs,-0.2669094048926776
cars,0,combined,early_cv,-0.19348742095841376
cars,0,combined,early_concentration,0.2691746914545272
cars,0,combined,paired_invalid_fraction,0.022581066156280853
cars,0,combined,negative_inflow_fraction,-0.2735513623885817
cars,0,combined,missing_inflow_fraction,0.43347543573584957
cars,1,hydrology,early_shape,0.03871387161936862
cars,1,hydrology,annual_shape_sd,0.23876594387242203
cars,1,hydrology,annual_shape_trend_abs,0.7976420791725586
cars,1,hydrology,early_cv,-0.03322650624363518
cars,1,hydrology,early_concentration,0.10836708994120584
cars,1,quality,paired_invalid_fraction,0.5155613339214768
cars,1,quality,negative_inflow_fraction,-0.44251791120608425
cars,1,quality,missing_inflow_fraction,-0.338489866031397
cars,1,combined,early_shape,0.029384553019429473
cars,1,combined,annual_shape_sd,0.2286835085762248
cars,1,combined,annual_shape_trend_abs,0.8114177839476603
cars,1,combined,early_cv,-0.05292935817981396
cars,1,combined,early_concentration,0.1727587223955086
cars,1,combined,paired_invalid_fraction,-0.030018856884097125
cars,1,combined,negative_inflow_fraction,-0.20229536366679501
cars,1,combined,missing_inflow_fraction,-0.05570064918863199
cars,2,hydrology,early_shape,0.35488690904088266
cars,2,hydrology,annual_shape_sd,0.22729568419182758
cars,2,hydrology,annual_shape_trend_abs,0.3706667158056571
cars,2,hydrology,early_cv,-0.20139464442829202
cars,2,hydrology,early_concentration,0.21596509258043114
cars,2,quality,paired_invalid_fraction,0.5091086854617457
cars,2,quality,negative_inflow_fraction,-0.40632416611338107
cars,2,quality,missing_inflow_fraction,-0.3406683750078604
cars,2,combined,early_shape,0.3558328607181106
cars,2,combined,annual_shape_sd,0.21112118575041428
cars,2,combined,annual_shape_trend_abs,0.3551198706659613
cars,2,combined,early_cv,-0.2182543330772182
cars,2,combined,early_concentration,0.28621648860719534
cars,2,combined,paired_invalid_fraction,0.021965294283716102
cars,2,combined,negative_inflow_fraction,-0.25615243839728613
cars,2,combined,missing_inflow_fraction,0.01618655008920901
cars,3,hydrology,early_shape,0.5218721464911977
cars,3,hydrology,annual_shape_sd,0.31421746178531307
cars,3,hydrology,annual_shape_trend_abs,0.37042454164153293
cars,3,hydrology,early_cv,-0.31522196928234103
cars,3,hydrology,early_concentration,0.20225533617770217
cars,3,quality,paired_invalid_fraction,0.47049737664141095
cars,3,quality,negative_inflow_fraction,-0.469325656371981
cars,3,quality,missing_inflow_fraction,-1.0804751083640436
cars,3,combined,early_shape,0.4566981431442774
cars,3,combined,annual_shape_sd,0.30031770598284163
cars,3,combined,annual_shape_trend_abs,0.45366543922402985
cars,3,combined,early_cv,-0.323197308208108
cars,3,combined,early_concentration,0.2788258536314932
cars,3,combined,paired_invalid_fraction,0.13566570655694857
cars,3,combined,negative_inflow_fraction,-0.3588742137228342
cars,3,combined,missing_inflow_fraction,-0.8372416953222694
cars,4,hydrology,early_shape,0.432468425408812
cars,4,hydrology,annual_shape_sd,0.23108433948651003
cars,4,hydrology,annual_shape_trend_abs,0.43090917034018117
cars,4,hydrology,early_cv,-0.23841490547530506
cars,4,hydrology,early_concentration,0.16249083562176542
cars,4,quality,paired_invalid_fraction,0.5200442141348581
cars,4,quality,negative_inflow_fraction,-0.287441941559298
cars,4,quality,missing_inflow_fraction,-0.3338019283666827
cars,4,combined,early_shape,0.43526314731346843
cars,4,combined,annual_shape_sd,0.23791651789606086
cars,4,combined,annual_shape_trend_abs,0.40491016120560747
cars,4,combined,early_cv,-0.2528401350098164
cars,4,combined,early_concentration,0.20758192342173298
cars,4,combined,paired_invalid_fraction,0.014295720536416182
cars,4,combined,negative_inflow_fraction,-0.13798811526962507
cars,4,combined,missing_inflow_fraction,0.06446051153039598
raw,0,hydrology,early_shape,-0.28144325994790187
raw,0,hydrology,annual_shape_sd,0.49667941014421674
raw,0,hydrology,annual_shape_trend_abs,-0.46969200466117517
raw,0,hydrology,early_cv,-0.3494621533773901
raw,0,hydrology,early_concentration,0.36315113249039405
raw,0,quality,paired_invalid_fraction,-0.05273760953598391
