ID,limit,filled_days
1001,1,1
1001,3,1
1001,7,1
1003,1,0
1003,3,3
1003,7,3
1006,1,0
1006,3,0
1006,7,0
1007,1,0
1007,3,0
1007,7,0
1017,1,0
1017,3,0
1017,7,0
1020,1,2
1020,3,2
1020,7,2
1021,1,0
1021,3,0
1021,7,0
1023,1,0
1023,3,0
1023,7,0
1026,1,0
1026,3,0
1026,7,0
1027,1,0
1027,3,0
1027,7,0
1028,1,0
1028,3,0
1028,7,0
1032,1,0
1032,3,0
1032,7,0
1033,1,1
1033,3,1
1033,7,1
1036,1,0
1036,3,0
1036,7,0
1042,1,0
1042,3,0
1042,7,0
1048,1,0
1048,3,0
1048,7,0
1051,1,0
1051,3,0
1051,7,0
1053,1,0
1053,3,0
1053,7,0
1067,1,1
1067,3,1
1067,7,1
1070,1,0
1070,3,2
1070,7,2
1075,1,2
1075,3,7
1075,7,7
1078,1,170
1078,3,235
1078,7,247
1084,1,4
1084,3,7
1084,7,7
1086,1,3
1086,3,3
1086,7,3
1092,1,2
1092,3,2
1092,7,2
1093,1,0
1093,3,0
1093,7,0
1095,1,424
1095,3,1060
1095,7,1447
1101,1,0
1101,3,2
1101,7,2
1109,1,94
1109,3,205
1109,7,299
1112,1,0
1112,3,10
1112,7,10
1120,1,0
1120,3,0
1120,7,0
1121,1,0
1121,3,0
1121,7,0
1122,1,0
1122,3,0
1122,7,0
1124,1,0
1124,3,0
1124,7,0
1125,1,0
1125,3,0
1125,7,0
1127,1,1
1127,3,1
1127,7,1
1128,1,0
1128,3,0
1128,7,0
1134,1,0
1134,3,0
1134,7,0
114,1,66
114,3,179
114,7,232
1144,1,0
1144,3,0
1144,7,0
1151,1,0
1151,3,0
1151,7,0
1170,1,26
1170,3,42
1170,7,42
1192,1,0
1192,3,4
1192,7,14
1197,1,26
1197,3,48
1197,7,48
1237,1,0
1237,3,0
1237,7,0
1249,1,0
1249,3,0
1249,7,0
131,1,348
131,3,666
131,7,812
132,1,4
132,3,4
132,7,4
133,1,69
133,3,104
133,7,123
144,1,318
144,3,835
144,7,1120
148,1,53
148,3,234
148,7,250
1585,1,8
1585,3,30
1585,7,44
1586,1,1
1586,3,1
1586,7,1
1587,1,1
1587,3,1
1587,7,1
1592,1,1
1592,3,1
1592,7,1
1595,1,4
1595,3,17
1595,7,21
1600,1,6
1600,3,22
1600,7,32
1606,1,7
1606,3,26
1606,7,32
1615,1,6
1615,3,22
1615,7,39
1617,1,5
1617,3,12
1617,7,16
1619,1,3
1619,3,5
1619,7,5
1620,1,3
1620,3,15
1620,7,15
163,1,0
163,3,0
163,7,0
1631,1,2
1631,3,2
1631,7,2
1634,1,0
1634,3,0
1634,7,0
1636,1,6
1636,3,16
1636,7,20
1645,1,2
1645,3,4
1645,7,4
1650,1,0
1650,3,2
1650,7,2
1654,1,2
1654,3,4
1654,7,4
1655,1,1
1655,3,5
1655,7,5
1656,1,1
1656,3,1
1656,7,1
168,1,224
168,3,548
168,7,718
1683,1,1
1683,3,5
1683,7,5
169,1,204
169,3,482
169,7,640
1691,1,3
1691,3,15
1691,7,15
1699,1,2
1699,3,9
1699,7,9
1703,1,1
1703,3,3
1703,7,3
1706,1,4
1706,3,18
1706,7,18
1707,1,5
1707,3,10
1707,7,20
1709,1,1
1709,3,4
1709,7,4
1712,1,7
1712,3,33
1712,7,45
1713,1,4
1713,3,16
1713,7,28
1714,1,0
1714,3,2
1714,7,2
1716,1,43
1716,3,53
1716,7,74
1718,1,1
1718,3,5
1718,7,5
1723,1,7
1723,3,21
1723,7,40
1726,1,2
1726,3,5
1726,7,14
173,1,410
173,3,1242
173,7,1916
1733,1,9
1733,3,12
1733,7,29
1735,1,404
1735,3,470
1735,7,475
1739,1,0
1739,3,0
1739,7,0
1740,1,0
1740,3,0
1740,7,0
1741,1,1
1741,3,3
1741,7,3
1742,1,2
1742,3,6
1742,7,11
1744,1,0
1744,3,5
1744,7,5
1752,1,43
1752,3,52
1752,7,52
1753,1,0
1753,3,0
1753,7,0
1754,1,803
