source,ID,period,MAIN_BAS,flagged,early_start,early_end,late_start,late_end,early_nyears,late_nyears,mean_shift,season_shift,abs_shape_change,early_shape,early_ratio,early_low10,early_cv,early_zero_delta,early_mean_in,early_concentration,early_trend,early_month1,early_month2,early_month3,early_month4,early_month5,early_month6,early_month7,early_month8,early_month9,early_month10,early_month11,early_month12,late_shape,late_ratio,late_low10,late_cv,late_zero_delta,late_mean_in,late_concentration,late_trend,late_month1,late_month2,late_month3,late_month4,late_month5,late_month6,late_month7,late_month8,late_month9,late_month10,late_month11,late_month12
cars,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.30357989200048513,0.23480505749603375,0.0859488165921406,0.21349272204209602,0.572851244440706,0.0,3.5793356285817914,-0.10876712328767121,3.588237378509033,0.11041336395757737,0.39328281506996987,0.03499247349740156,0.07043428425904878,0.1446805099372617,0.1711750187804933,0.14047604741217934,0.11018365315173384,0.042640821101816266,0.052411775078577194,0.03664314848732969,0.11268782919538384,0.03924866993584086,0.044425769162933525,0.2994415386342366,0.7572490798431898,0.029212189318620185,3.7985236008908774,-0.401697699890471,4.860984517496864,0.12967962211756645,0.3619415152206642,0.020500607420091493,0.0461520640472545,0.09030169916717806,0.1426166209455653,0.1891570665601596,0.20290851449074773,0.056436468942660294,0.040485667069055785,0.022231041312289226,0.025932281778027956,0.11600802187658876,0.04726994639038119
raw,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3023592475725824,0.23289225032191668,0.09994350280212252,0.24525958501172093,0.5728665516056787,0.0,3.913202225822618,-0.13076923076923075,3.5930936813186816,0.11021780404087414,0.39616975224228934,0.03570425589812447,0.072840287850754,0.14349567596138535,0.17035596601263675,0.14296971272957182,0.10754048078039825,0.042304142539629414,0.052776996406644294,0.0369178936912014,0.11243647287022931,0.03788525621611852,0.044772859043306606,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
gap1,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.30246073167012055,0.2327840893648646,0.09938996977138947,0.24581311804245398,0.5734643725064503,0.0,3.9130666928296844,-0.13073331502334526,3.5927290579511126,0.11019431107994895,0.39590896597634445,0.03569807233344927,0.07282767275433047,0.14347082416793389,0.17032646232723156,0.14294495202687632,0.107521856011407,0.04247000439908597,0.05276785604053292,0.03691149993848008,0.11241700017196533,0.0378786949273826,0.04476510490132483,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
gap3,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.30246073167012055,0.2327840893648646,0.09938996977138947,0.24581311804245398,0.5734643725064503,0.0,3.9130666928296844,-0.13073331502334526,3.5927290579511126,0.11019431107994895,0.39590896597634445,0.03569807233344927,0.07282767275433047,0.14347082416793389,0.17032646232723156,0.14294495202687632,0.107521856011407,0.04247000439908597,0.05276785604053292,0.03691149993848008,0.11241700017196533,0.0378786949273826,0.04476510490132483,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
gap7,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.30246073167012055,0.2327840893648646,0.09938996977138947,0.24581311804245398,0.5734643725064503,0.0,3.9130666928296844,-0.13073331502334526,3.5927290579511126,0.11019431107994895,0.39590896597634445,0.03569807233344927,0.07282767275433047,0.14347082416793389,0.17032646232723156,0.14294495202687632,0.107521856011407,0.04247000439908597,0.05276785604053292,0.03691149993848008,0.11241700017196533,0.0378786949273826,0.04476510490132483,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
cars_common_dates,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3023202955861429,0.23565442770163897,0.08732984682943917,0.21211169180479744,0.5728619977960133,0.0,3.5796251073382583,-0.10906593406593404,3.5927599571587834,0.11060908749083688,0.39629465774795286,0.03504443700702143,0.07053887854009998,0.14481954280270593,0.17142921214969717,0.1406846530839563,0.1103472748894463,0.042521883178022156,0.05248960609497254,0.03669756323451996,0.11285516961208433,0.038080038375377066,0.04449174103209675,0.2994415386342366,0.7572490798431898,0.029212189318620185,3.7985236008908774,-0.401697699890471,4.860984517496864,0.12967962211756645,0.3619415152206642,0.020500607420091493,0.0461520640472545,0.09030169916717806,0.1426166209455653,0.1891570665601596,0.20290851449074773,0.056436468942660294,0.040485667069055785,0.022231041312289226,0.025932281778027956,0.11600802187658876,0.04726994639038119
raw_common_dates,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3023592475725824,0.23289225032191668,0.09994350280212252,0.24525958501172093,0.5728665516056787,0.0,3.913202225822618,-0.13076923076923075,3.5930936813186816,0.11021780404087414,0.39616975224228934,0.03570425589812447,0.072840287850754,0.14349567596138535,0.17035596601263675,0.14296971272957182,0.10754048078039825,0.042304142539629414,0.052776996406644294,0.0369178936912014,0.11243647287022931,0.03788525621611852,0.044772859043306606,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
gap1_common_dates,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3023592475725824,0.23289225032191668,0.09994350280212252,0.24525958501172093,0.5728665516056787,0.0,3.913202225822618,-0.13076923076923075,3.5930936813186816,0.11021780404087414,0.39616975224228934,0.03570425589812447,0.072840287850754,0.14349567596138535,0.17035596601263675,0.14296971272957182,0.10754048078039825,0.042304142539629414,0.052776996406644294,0.0369178936912014,0.11243647287022931,0.03788525621611852,0.044772859043306606,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
gap3_common_dates,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3023592475725824,0.23289225032191668,0.09994350280212252,0.24525958501172093,0.5728665516056787,0.0,3.913202225822618,-0.13076923076923075,3.5930936813186816,0.11021780404087414,0.39616975224228934,0.03570425589812447,0.072840287850754,0.14349567596138535,0.17035596601263675,0.14296971272957182,0.10754048078039825,0.042304142539629414,0.052776996406644294,0.0369178936912014,0.11243647287022931,0.03788525621611852,0.044772859043306606,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
gap7_common_dates,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3023592475725824,0.23289225032191668,0.09994350280212252,0.24525958501172093,0.5728665516056787,0.0,3.913202225822618,-0.13076923076923075,3.5930936813186816,0.11021780404087414,0.39616975224228934,0.03570425589812447,0.072840287850754,0.14349567596138535,0.17035596601263675,0.14296971272957182,0.10754048078039825,0.042304142539629414,0.052776996406644294,0.0369178936912014,0.11243647287022931,0.03788525621611852,0.044772859043306606,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
