date,raw_inflow,raw_outflow,negative_mask_inflow,negative_mask_outflow,filtered_inflow,filtered_outflow,linear_limit7_inflow,linear_limit7_outflow,negative_mask_utc_inflow,negative_mask_utc_outflow,full_replay_inflow,full_replay_outflow,strict_gap7_utc_inflow,strict_gap7_utc_outflow,CARS_inflow,CARS_outflow
1975-01-01,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142
1975-01-02,0.533,0.142,0.533,0.142,0.533,0.142,0.533,0.142,0.43525,0.142,0.43525,0.142,0.43525,0.142,0.43525,0.142
1975-01-03,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.8255,0.142,0.8255,0.142,0.8255,0.142,0.8255000000000001,0.142
1975-01-04,0.337,0.142,0.337,0.142,0.337,0.142,0.337,0.142,0.4835,0.142,0.4835,0.142,0.4835,0.142,0.4835,0.142
1975-01-05,1.119,0.142,1.119,0.142,1.119,0.142,1.119,0.142,0.9235000000000001,0.142,0.9235000000000001,0.142,0.9235000000000001,0.142,0.9235,0.142
1975-01-06,0.337,0.142,0.337,0.142,0.337,0.142,0.337,0.142,0.5325,0.142,0.5325,0.142,0.5325,0.142,0.5325,0.142
1975-01-07,0.723,0.142,0.723,0.142,0.723,0.142,0.723,0.142,0.6265,0.142,0.6265,0.142,0.6265,0.142,0.6265000000000001,0.142
1975-01-08,0.533,0.142,0.533,0.142,0.533,0.142,0.533,0.142,0.5805,0.142,0.5805,0.142,0.5805,0.142,0.5805,0.142
1975-01-09,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.8255,0.142,0.8255,0.142,0.8255,0.142,0.8255000000000001,0.142
1975-01-10,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142
1975-01-11,0.337,0.142,0.337,0.142,0.337,0.142,0.337,0.142,0.4835,0.142,0.4835,0.142,0.4835,0.142,0.4835,0.142
1975-01-12,-0.054,0.142,,0.142,,0.142,0.2395,0.142,0.263875,0.142,0.263875,0.142,0.263875,0.142,0.2638749999999999,0.142
1975-01-13,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.16637499999999997,0.142,0.166375,0.142,0.166375,0.142,0.166375,0.142
1975-01-14,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.72775,0.142,0.72775,0.142,0.72775,0.142,0.7277500000000001,0.142
1975-01-15,0.728,0.142,0.728,0.142,0.728,0.142,0.728,0.142,0.77675,0.142,0.77675,0.142,0.77675,0.142,0.77675,0.142
1975-01-16,0.533,0.142,0.533,0.142,0.533,0.142,0.533,0.142,0.58175,0.142,0.58175,0.142,0.58175,0.142,0.58175,0.142
