ID,stage,variable,n_common,mae,max_abs_error,values_within_1e_8,finite_mask_disagreements
938,raw,inflow,15958,0.3933588504787479,396.89560416666666,1068,111
938,raw,outflow,16060,0.03687492045721167,2.949583333333333,10966,2
938,negative_mask,inflow,15210,0.18804448911922889,51.693749999999994,1068,857
938,negative_mask,outflow,16060,0.03687492045721167,2.949583333333333,10966,2
938,filtered,inflow,15210,0.18804448911922889,51.693749999999994,1068,857
938,filtered,outflow,16060,0.03687492045721167,2.949583333333333,10966,2
938,linear_limit7,inflow,16063,0.19194786392576996,51.693749999999994,1106,4
938,linear_limit7,outflow,16060,0.03687492045721167,2.949583333333333,10966,2
938,negative_mask_utc,inflow,15871,6.887194313198575e-17,2.842170943040401e-14,15871,196
938,negative_mask_utc,outflow,16062,2.4404188033596675e-17,3.552713678800501e-15,16062,0
938,full_replay,inflow,16067,6.394605114021482e-17,2.842170943040401e-14,16067,0
938,full_replay,outflow,16062,2.4404188033596675e-17,3.552713678800501e-15,16062,0
938,strict_gap7_utc,inflow,16039,6.407498967678707e-17,2.842170943040401e-14,16039,28
938,strict_gap7_utc,outflow,16062,2.4404188033596675e-17,3.552713678800501e-15,16062,0
938,CARS,inflow,16067,0.0,0.0,16067,0
938,CARS,outflow,16062,0.0,0.0,16062,0
939,raw,inflow,15666,0.3495288757894056,248.4208541666667,2234,394
939,raw,outflow,16058,0.009721814238602456,1.097083333333333,13299,4
939,negative_mask,inflow,12928,0.11169587333850532,36.93729166666665,2234,2900
939,negative_mask,outflow,16058,0.009721814238602456,1.097083333333333,13299,4
939,filtered,inflow,12928,0.11169587333850532,36.93729166666665,2234,2900
939,filtered,outflow,16058,0.009721814238602456,1.097083333333333,13299,4
939,linear_limit7,inflow,15785,0.10601819452954114,36.93729166666665,2835,43
939,linear_limit7,outflow,16058,0.009721814238602456,1.097083333333333,13299,4
939,negative_mask_utc,inflow,14498,1.731205322977722e-06,0.005469935245143387,14486,1330
939,negative_mask_utc,outflow,16062,8.490527479955652e-18,1.7763568394002505e-15,16062,0
939,full_replay,inflow,15828,4.0225462376412915e-17,2.842170943040401e-14,15828,0
939,full_replay,outflow,16062,8.490527479955652e-18,1.7763568394002505e-15,16062,0
939,strict_gap7_utc,inflow,15527,4.100480966058863e-17,2.842170943040401e-14,15527,301
939,strict_gap7_utc,outflow,16062,8.490527479955652e-18,1.7763568394002505e-15,16062,0
939,CARS,inflow,15828,0.0,0.0,15828,0
939,CARS,outflow,16062,0.0,0.0,16062,0
