source,fold,n_train,n_test,threshold,prevalence
cars,0,34,87,0.08200081346694221,0.2647058823529412
cars,1,103,23,0.062030632177686104,0.2524271844660194
cars,2,117,12,0.0664756954087518,0.24786324786324787
cars,3,106,18,0.06689042543964968,0.25471698113207547
cars,4,113,13,0.0664756954087518,0.24778761061946902
raw,0,34,87,0.08100310732052296,0.2647058823529412
raw,1,103,23,0.0684445517454597,0.2524271844660194
raw,2,117,12,0.0744001513739818,0.24786324786324787
raw,3,106,18,0.074582291139016,0.25471698113207547
raw,4,113,13,0.0744001513739818,0.24778761061946902
